,SigC,SigH,EpsC,EpsH,density,estimErr
173,0.075,0.2503,0.9037,0.11,611.014,19.0
174,0.075,0.2503,0.9037,0.13,621.655,17.0
175,0.075,0.2503,1.068,0.03,603.372,9.8
176,0.075,0.2503,1.068,0.05,599.976,17.0
177,0.075,0.2503,1.068,0.07,600.955,14.0
178,0.075,0.2503,1.068,0.09,609.561,17.0
179,0.075,0.2503,1.068,0.11,617.298,14.0
180,0.075,0.2503,1.068,0.13,622.336,15.0
181,0.075,0.2958,0.2465,0.03,380.457,14.0
182,0.0750,0.2958,0.2465,0.05,446.143,--
183,0.0750,0.2958,0.2465,0.07,446.143,--
184,0.0750,0.2958,0.2465,0.09,446.143,--
185,0.0750,0.2958,0.2465,0.11,446.143,--
186,0.0750,0.2958,0.2465,0.13,446.143,--
187,0.075,0.2958,0.4108,0.03,391.884,12.0
188,0.0750,0.2958,0.4108,0.05,446.143,--
189,0.0750,0.2958,0.4108,0.07,446.143,--
190,0.0750,0.2958,0.4108,0.09,446.143,--
191,0.0750,0.2958,0.4108,0.11,446.143,--
192,0.0750,0.2958,0.4108,0.13,446.143,--
193,0.075,0.2958,0.5751,0.03,374.413,9.4
194,0.0750,0.2958,0.5751,0.05,446.143,--
195,0.0750,0.2958,0.5751,0.07,446.143,--
196,0.0750,0.2958,0.5751,0.09,446.143,--
197,0.0750,0.2958,0.5751,0.11,446.143,--
198,0.0750,0.2958,0.5751,0.13,446.143,--
199,0.075,0.2958,0.7394,0.03,396.062,14.0
200,0.0750,0.2958,0.7394,0.05,446.143,--
201,0.0750,0.2958,0.7394,0.07,446.143,--
202,0.0750,0.2958,0.7394,0.09,446.143,--
203,0.0750,0.2958,0.7394,0.11,446.143,--
204,0.0750,0.2958,0.7394,0.13,446.143,--
205,0.075,0.2958,0.9037,0.03,396.925,9.9
206,0.0750,0.2958,0.9037,0.05,446.143,--
207,0.0750,0.2958,0.9037,0.07,446.143,--
208,0.0750,0.2958,0.9037,0.09,446.143,--
209,0.0750,0.2958,0.9037,0.11,446.143,--
210,0.0750,0.2958,0.9037,0.13,446.143,--
211,0.075,0.2958,1.068,0.03,389.132,16.0
212,0.0750,0.2958,1.068,0.05,446.143,--
213,0.0750,0.2958,1.068,0.07,446.143,--
214,0.0750,0.2958,1.068,0.09,446.143,--
